agent_id,origins,destinations,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence
28,57680147,57392554#0,0.9,0.9,0.4,0.6,0.44999999999999996,0.6,0.55,0.55,1.0,0.5,0.9,0.55,0.2,0.0,0.30000000000000004,0.30000000000000004,0.44999999999999996,0.7,0.09999999999999998,0.19999999999999996,0.9,0.4,0.30000000000000004,"8a7558240407fff,8a7558240417fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.7,0.7,1.0,0.0,0.44999999999999996,1.0,0.55,0.55,0.8,0.7,1.0,0.55,0.1,0.19999999999999996,0.0,0.0,0.44999999999999996,0.30000000000000004,0.0,0.0,0.7,0.30000000000000004,0.19999999999999996,"8a7558240407fff,8a7558240417fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558246647fff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.0,0.0,0.1,0.9,0.44999999999999996,0.1,0.55,0.55,0.1,0.1,0.7,0.55,0.7,0.9,0.19999999999999996,0.19999999999999996,0.44999999999999996,0.09999999999999998,0.19999999999999996,0.9,0.0,0.6,0.5,"8a7558240407fff,8a7558240417fff,8a7558240597fff,8a75582405b7fff,8a755824625ffff,8a755824624ffff,8a7558240517fff,8a755824051ffff,8a7558240437fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.4,0.5,0.6,0.4,0.44999999999999996,0.8,0.55,0.55,0.6,0.9,0.4,0.55,0.6,0.4,0.6,0.6,0.44999999999999996,0.5,0.6,0.5,0.5,0.8,0.09999999999999998,"8a7558240407fff,8a7558240417fff,8a755824040ffff,8a7558240437fff,8a755824051ffff,8a755824625ffff,8a75582405b7fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.19999999999999996,0.19999999999999996,0.8,0.19999999999999996,0.44999999999999996,0.5,0.55,0.55,0.3,0.8,0.1,0.55,0.9,0.7,0.8,0.8,0.44999999999999996,0.8,0.8,0.7,0.19999999999999996,0.09999999999999998,0.7,"8a7558240407fff,8a7558240417fff,8a7558240597fff,8a75582405b7fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a75582404affff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.8,0.8,0.5,0.5,0.44999999999999996,0.4,0.55,0.55,0.9,0.4,0.6,0.55,0.4,0.09999999999999998,0.4,0.4,0.44999999999999996,0.6,0.4,0.30000000000000004,0.8,0.5,0.6,"8a7558240407fff,8a7558240417fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a75582404affff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.6,0.6,0.9,0.09999999999999998,0.44999999999999996,0.9,0.55,0.55,0.7,1.0,0.5,0.55,0.3,0.30000000000000004,0.5,0.5,0.44999999999999996,0.9,0.5,0.4,0.6,0.7,0.4,"8a7558240407fff,8a7558240417fff,8a755824040ffff,8a75582404e7fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.09999999999999998,0.09999999999999998,0.2,0.8,0.44999999999999996,0.2,0.55,0.55,0.2,0.2,0.2,0.55,1.0,0.8,0.9,0.9,0.44999999999999996,0.19999999999999996,0.9,0.8,0.09999999999999998,0.19999999999999996,0.9,"8a7558240407fff,8a7558240417fff,8a7558240597fff,8a75582405b7fff,8a7558240437fff,8a755824040ffff,8a75582404e7fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.30000000000000004,0.30000000000000004,0.3,0.7,0.44999999999999996,0.3,0.55,0.55,0.4,0.3,0.8,0.55,0.5,0.6,0.7,0.7,0.44999999999999996,0.4,0.7,0.6,0.30000000000000004,0.0,0.8,"8a7558240407fff,8a7558240417fff,8a7558240597fff,8a75582405b7fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
28,57680147,57392554#0,0.5,0.4,0.7,0.30000000000000004,0.44999999999999996,0.7,0.55,0.55,0.5,0.6,0.3,0.55,0.8,0.5,0.09999999999999998,0.09999999999999998,0.44999999999999996,0.0,0.30000000000000004,0.09999999999999998,0.4,0.9,0.0,"8a7558240407fff,8a7558240417fff,8a755824040ffff,8a7558240437fff,8a755824051ffff,8a7558240517fff,8a755824624ffff,8a755824625ffff,8a75582405b7fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558246647fff,8a75582466effff,8a75582466c7fff,8a7558242d47fff"
29,-41231513#2,79119284#5,0.9,0.9,0.15,0.85,0.75,0.25,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.9,0.6,0.44999999999999996,0.9,0.9,0.0,"8a7558244717fff,8a755824471ffff,8a7558244627fff"
29,-41231513#2,79119284#5,0.0,0.0,1.0,0.0,0.25,0.9,0.55,0.55,0.55,0.55,0.55,0.8,0.3,0.44999999999999996,0.19999999999999996,0.19999999999999996,0.44999999999999996,0.09999999999999998,0.19999999999999996,0.44999999999999996,0.0,0.4,0.6,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a75582447affff,8a755824478ffff,8a75582446a7fff,8a7558244687fff,8a75582446b7fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d67fff,8a7558240d47fff,8a7558240997fff,8a75582446cffff,8a755824460ffff,8a755824461ffff,8a7558244617fff,8a7558244637fff,8a7558244627fff"
29,-41231513#2,79119284#5,0.8,0.8,0.9,0.09999999999999998,0.25,0.8,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.8,0.6,0.44999999999999996,0.8,0.8,0.09999999999999998,"8a7558244717fff,8a755824471ffff,8a7558244707fff,8a755824409ffff,8a755824446ffff,8a75582447a7fff,8a75582447affff,8a7558244637fff,8a7558244627fff"
29,-41231513#2,79119284#5,0.4,0.4,0.3,0.7,0.75,0.25,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.6,0.6,0.44999999999999996,0.30000000000000004,0.19999999999999996,0.7,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244097fff,8a7558244467fff,8a755824446ffff,8a75582447a7fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558240d27fff,8a7558244687fff,8a75582446a7fff,8a755824478ffff,8a75582447affff,8a7558244637fff,8a7558244627fff"
29,-41231513#2,79119284#5,0.5,0.5,0.5,0.5,0.25,0.5,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.30000000000000004,0.6,0.44999999999999996,0.4,0.7,0.19999999999999996,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a75582447a7fff,8a75582447affff,8a7558244637fff,8a7558244617fff,8a755824461ffff,8a755824468ffff,8a75582446dffff,8a75582446c7fff,8a75582446e7fff,8a755824460ffff,8a7558244627fff"
29,-41231513#2,79119284#5,0.09999999999999998,0.09999999999999998,0.4,0.6,0.75,0.25,0.55,0.55,0.55,0.55,0.55,0.9,0.2,0.44999999999999996,0.09999999999999998,0.09999999999999998,0.44999999999999996,0.0,0.09999999999999998,0.44999999999999996,0.09999999999999998,0.09999999999999998,0.8,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d67fff,8a75582446dffff,8a75582446c7fff,8a755824461ffff,8a755824460ffff,8a7558244627fff"
29,-41231513#2,79119284#5,0.7,0.7,0.7,0.30000000000000004,0.25,0.7,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.4,0.6,0.44999999999999996,0.6,0.30000000000000004,0.5,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a7558244797fff,8a7558244787fff,8a75582447affff,8a7558244637fff,8a7558244627fff"
29,-41231513#2,79119284#5,0.30000000000000004,0.30000000000000004,0.8,0.19999999999999996,0.25,1.0,0.55,0.55,0.55,0.55,0.55,1.0,0.1,0.44999999999999996,0.0,0.0,0.44999999999999996,0.19999999999999996,0.0,0.44999999999999996,0.19999999999999996,0.5,0.30000000000000004,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a755824446ffff,8a75582447a7fff,8a75582447affff,8a755824478ffff,8a75582446a7fff,8a7558244687fff,8a75582446b7fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d67fff,8a7558240d47fff,8a7558240997fff,8a75582446c7fff,8a755824461ffff,8a755824460ffff,8a7558244627fff"
29,-41231513#2,79119284#5,0.19999999999999996,0.19999999999999996,0.15,0.85,0.75,0.25,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.5,0.6,0.44999999999999996,0.5,0.0,0.9,"8a7558244717fff,8a755824471ffff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a7558244797fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558240d27fff,8a7558244687fff,8a75582446a7fff,8a755824478ffff,8a75582447affff,8a7558244637fff,8a7558244627fff"
29,-41231513#2,79119284#5,0.6,0.6,0.6,0.4,0.25,0.6,0.55,0.55,0.55,0.55,0.55,0.4,0.7,0.44999999999999996,0.6,0.6,0.44999999999999996,0.7,0.6,0.44999999999999996,0.7,0.6,0.4,"8a7558244717fff,8a755824471ffff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a75582447affff,8a7558244637fff,8a7558244627fff"
30,57680106,-561134628#0,0.9,0.9,1.0,0.0,0.44999999999999996,1.0,0.55,0.55,0.55,1.0,0.8,0.5,0.1,0.44999999999999996,0.0,0.0,0.44999999999999996,0.9,0.0,0.0,0.9,0.4,0.8,"8a75582405b7fff,8a7558240437fff,8a7558240407fff,8a755824040ffff,8a75582404e7fff,8a7558240417fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.8,0.8,0.4,0.7,0.44999999999999996,0.9,0.55,0.55,0.55,0.8,0.7,1.0,0.4,0.44999999999999996,0.09999999999999998,0.09999999999999998,0.44999999999999996,0.5,0.09999999999999998,0.09999999999999998,0.8,0.9,0.0,"8a75582405b7fff,8a7558240437fff,8a755824051ffff,8a755824625ffff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558240d37fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.6,0.5,0.6,0.4,0.44999999999999996,0.8,0.55,0.55,0.55,0.7,0.4,0.9,0.6,0.44999999999999996,0.4,0.4,0.44999999999999996,0.19999999999999996,0.4,0.4,0.5,0.8,0.09999999999999998,"8a75582405b7fff,8a7558240437fff,8a7558240407fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a75582404affff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558246a6ffff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.5,0.4,0.5,0.5,0.44999999999999996,0.4,0.55,0.55,0.55,0.4,1.0,0.2,0.2,0.44999999999999996,0.5,0.5,0.44999999999999996,0.7,0.5,0.5,0.4,0.19999999999999996,0.5,"8a75582405b7fff,8a7558240437fff,8a755824051ffff,8a7558240517fff,8a755824624ffff,8a755824625ffff,8a7558240597fff,8a7558240417fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.7,0.7,0.8,0.09999999999999998,0.44999999999999996,0.7,0.55,0.55,0.55,0.9,0.6,0.4,0.5,0.44999999999999996,0.19999999999999996,0.19999999999999996,0.44999999999999996,0.6,0.19999999999999996,0.19999999999999996,0.7,0.09999999999999998,0.6,"8a75582405b7fff,8a7558240437fff,8a755824051ffff,8a755824625ffff,8a7558240407fff,8a755824040ffff,8a7558240417fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.19999999999999996,0.19999999999999996,0.3,0.6,0.44999999999999996,0.3,0.55,0.55,0.55,0.3,0.9,0.8,0.3,0.44999999999999996,0.7,0.7,0.44999999999999996,0.4,0.7,0.7,0.19999999999999996,0.6,0.30000000000000004,"8a75582405b7fff,8a7558240437fff,8a7558240407fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff,8a7558240d37fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.0,0.0,0.1,0.9,0.44999999999999996,0.1,0.55,0.55,0.55,0.1,0.1,0.6,1.0,0.44999999999999996,0.9,0.9,0.44999999999999996,0.0,0.9,0.9,0.0,0.5,0.4,"8a75582405b7fff,8a7558240437fff,8a755824051ffff,8a7558240517fff,8a755824624ffff,8a755824625ffff,8a7558240407fff,8a755824040ffff,8a75582404e7fff,8a7558240417fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558246a6ffff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.09999999999999998,0.09999999999999998,0.2,0.8,0.44999999999999996,0.2,0.55,0.55,0.55,0.2,0.2,0.7,0.9,0.44999999999999996,0.8,0.8,0.44999999999999996,0.09999999999999998,0.8,0.8,0.09999999999999998,0.7,0.19999999999999996,"8a75582405b7fff,8a7558240437fff,8a7558240407fff,8a755824040ffff,8a7558240417fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558240d07fff,8a7558240d37fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.30000000000000004,0.30000000000000004,0.7,0.19999999999999996,0.44999999999999996,0.5,0.55,0.55,0.55,0.5,0.3,0.1,0.8,0.44999999999999996,0.6,0.6,0.44999999999999996,0.30000000000000004,0.6,0.6,0.30000000000000004,0.30000000000000004,0.7,"8a75582405b7fff,8a7558240437fff,8a755824051ffff,8a7558240517fff,8a755824624ffff,8a755824625ffff,8a7558240407fff,8a755824040ffff,8a75582404e7fff,8a7558240417fff,8a7558240597fff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d57fff,8a7558240d47fff"
30,57680106,-561134628#0,0.4,0.6,0.9,0.30000000000000004,0.44999999999999996,0.6,0.55,0.55,0.55,0.6,0.5,0.3,0.7,0.44999999999999996,0.30000000000000004,0.30000000000000004,0.44999999999999996,0.8,0.30000000000000004,0.30000000000000004,0.6,0.0,0.9,"8a75582405b7fff,8a7558240437fff,8a7558240407fff,8a7558240597fff,8a7558240417fff,8a755824040ffff,8a75582404e7fff,8a75582404f7fff,8a75582404affff,8a755824296ffff,8a755824291ffff,8a75582429affff,8a75582429a7fff,8a755824665ffff,8a755824664ffff,8a7558242937fff,8a7558242927fff,8a75582462d7fff,8a75582462c7fff,8a75582462e7fff,8a7558246277fff,8a755824634ffff,8a7558240cb7fff,8a7558240c17fff,8a7558240c37fff,8a7558240c27fff,8a7558240d57fff,8a7558240d47fff"
31,-41231513#2,41231711#3,0.8,0.8,0.15,0.8,0.75,0.25,0.55,0.55,0.55,0.5,0.55,0.3,0.8,0.44999999999999996,0.7,0.7,0.44999999999999996,0.7,0.7,0.44999999999999996,0.7,0.6,0.7,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a75582447a7fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff"
31,-41231513#2,41231711#3,0.6,0.4,1.0,0.0,0.0,1.0,0.55,0.55,0.55,1.0,0.55,1.0,0.1,0.44999999999999996,0.0,0.0,0.44999999999999996,0.30000000000000004,0.0,0.44999999999999996,0.4,0.4,0.09999999999999998,"8a7558244717fff,8a755824471ffff,8a7558244627fff,8a755824460ffff,8a755824461ffff,8a75582446c7fff,8a7558240d67fff,8a7558240d77fff,8a7558240d57fff,8a7558240d47fff,8a7558240c67fff,8a7558240c07fff,8a7558240c37fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558240d07fff,8a7558240d17fff"
31,-41231513#2,41231711#3,0.7,0.7,0.9,0.09999999999999998,0.30000000000000004,0.6,0.55,0.55,0.55,0.5,0.55,0.9,0.2,0.44999999999999996,0.09999999999999998,0.09999999999999998,0.44999999999999996,0.6,0.09999999999999998,0.44999999999999996,0.8,0.9,0.0,"8a7558244717fff,8a755824471ffff,8a7558244637fff,8a7558244617fff,8a755824461ffff,8a755824468ffff,8a75582446d7fff,8a7558240d27fff,8a7558240d77fff,8a7558240d67fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff"
31,-41231513#2,41231711#3,0.09999999999999998,0.19999999999999996,0.4,0.6,0.75,0.25,0.55,0.55,0.55,0.5,0.55,0.7,0.4,0.44999999999999996,0.30000000000000004,0.30000000000000004,0.44999999999999996,0.0,0.30000000000000004,0.44999999999999996,0.09999999999999998,0.30000000000000004,0.5,"8a755824471ffff,8a7558244717fff,8a7558244707fff,8a755824409ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558240d27fff,8a7558240d77fff,8a7558240d57fff,8a7558240c27fff,8a7558240d1ffff,8a7558240daffff,8a7558240da7fff,8a7558246a5ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff"
31,-41231513#2,41231711#3,0.9,0.9,0.7,0.30000000000000004,0.30000000000000004,0.9,0.55,0.55,0.55,0.5,0.55,0.3,0.8,0.44999999999999996,0.7,0.7,0.44999999999999996,0.9,0.7,0.44999999999999996,0.9,0.5,0.30000000000000004,"8a7558244717fff,8a755824471ffff,8a7558244637fff,8a75582447affff,8a755824478ffff,8a75582446a7fff,8a7558244687fff,8a75582446b7fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d1ffff,8a7558240d07fff,8a7558240d17fff"
31,-41231513#2,41231711#3,0.30000000000000004,0.30000000000000004,0.3,0.7,0.75,0.25,0.55,0.55,0.55,0.5,0.55,0.3,0.8,0.44999999999999996,0.7,0.7,0.44999999999999996,0.19999999999999996,0.7,0.44999999999999996,0.30000000000000004,0.09999999999999998,0.9,"8a7558244717fff,8a755824471ffff,8a7558244707fff,8a755824408ffff,8a75582440affff,8a7558244087fff,8a755824409ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a75582447a7fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d1ffff,8a7558240d07fff,8a7558240d17fff"
31,-41231513#2,41231711#3,0.19999999999999996,0.09999999999999998,0.5,0.5,0.30000000000000004,0.5,0.55,0.55,0.55,0.5,0.55,0.6,0.5,0.44999999999999996,0.4,0.4,0.44999999999999996,0.4,0.4,0.44999999999999996,0.19999999999999996,0.8,0.19999999999999996,"8a7558244717fff,8a755824471ffff,8a7558244707fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a75582447a7fff,8a75582447affff,8a7558244637fff,8a7558244627fff,8a755824460ffff,8a755824461ffff,8a75582446c7fff,8a7558240d67fff,8a7558240d77fff,8a7558240d27fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff"
31,-41231513#2,41231711#3,0.0,0.0,0.8,0.19999999999999996,0.30000000000000004,0.7,0.55,0.55,0.55,0.5,0.55,0.3,0.8,0.44999999999999996,0.7,0.7,0.44999999999999996,0.8,0.7,0.44999999999999996,0.0,0.7,0.6,"8a7558244717fff,8a755824471ffff,8a7558244707fff,8a755824408ffff,8a75582440affff,8a7558244017fff,8a75582441affff,8a755824418ffff,8a75582440a7fff,8a7558244087fff,8a755824409ffff,8a7558244737fff,8a755824446ffff,8a75582447a7fff,8a75582447affff,8a755824478ffff,8a75582446a7fff,8a7558244687fff,8a75582446b7fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff"
31,-41231513#2,41231711#3,0.5,0.6,0.15,0.9,0.75,0.25,0.55,0.55,0.55,0.5,0.55,0.3,0.8,0.44999999999999996,0.7,0.7,0.44999999999999996,0.09999999999999998,0.7,0.44999999999999996,0.6,0.19999999999999996,0.4,"8a7558244717fff,8a755824471ffff,8a7558244637fff,8a75582447affff,8a75582447a7fff,8a755824446ffff,8a755824409ffff,8a7558244097fff,8a7558244467fff,8a7558244477fff,8a75582447b7fff,8a7558244787fff,8a75582446b7fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d17fff,8a7558240d07fff"
31,-41231513#2,41231711#3,0.4,0.5,0.6,0.4,0.30000000000000004,0.8,0.55,0.55,0.55,0.5,0.55,0.8,0.3,0.44999999999999996,0.19999999999999996,0.19999999999999996,0.44999999999999996,0.5,0.19999999999999996,0.44999999999999996,0.5,0.0,0.8,"8a7558244717fff,8a755824471ffff,8a7558244627fff,8a755824460ffff,8a755824461ffff,8a75582446c7fff,8a7558240d67fff,8a7558240d77fff,8a7558240d27fff,8a7558244687fff,8a75582446b7fff,8a755824469ffff,8a7558246a6ffff,8a7558246a4ffff,8a7558240d1ffff,8a7558240d07fff,8a7558240d17fff"
32,-22561652#1,-39353757#12,0.8,0.8,1.0,0.0,0.44999999999999996,0.9,0.55,0.55,0.9,0.9,1.0,0.55,0.1,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.44999999999999996,0.9,0.09999999999999998,0.09999999999999998,0.8,0.6,0.30000000000000004,"8a75582466f7fff,8a75582466c7fff,8a75582466effff,8a755824665ffff,8a75582429a7fff,8a75582429affff,8a755824291ffff,8a755824296ffff,8a75582404f7fff,8a75582404e7fff,8a755824040ffff,8a7558240407fff,8a7558240437fff,8a755824051ffff,8a7558240517fff"
